,title,year,lifetime_gross,ratingInteger,ratingCount,duration,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
290,THE FOUR HORSEMEN OF THE APOCALYPSE,1921,9183673,8,2241,9000,1,0,11,38,37,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,METROPOLIS,1927,1236166,8,81007,9180,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,CITY LIGHTS,1931,19181,9,70057,5220,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,MODERN TIMES,1936,163577,9,90847,5220,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,SNOW WHITE AND THE SEVEN DWARFS,1937,184925486,8,92722,4980,10,3,98,428,174,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,THE WIZARD OF OZ,1939,22342633,8,209506,6120,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GONE WITH THE WIND,1939,198676459,8,160414,14280,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1399,PINOCCHIO,1940,84254167,8,56697,5280,2,0,63,179,124,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CITIZEN KANE,1941,1585634,9,228617,7140,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,SERGEANT YORK,1941,16361885,8,10521,8040,3,9,16,18,84,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,BAMBI,1942,102247150,7,63109,3900,3,1,35,94,119,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CASABLANCA,1942,4108411,9,296802,6120,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1661,THE BELLS OF ST. MARY'S,1945,21333333,8,4430,5280,3,7,16,3,45,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,THE BEST YEARS OF OUR LIVES,1946,23650000,8,30002,10320,13,1,15,129,218,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3576,DUEL IN THE SUN,1946,20408163,7,5458,8280,1,0,41,38,83,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,THE THIRD MAN,1949,618173,8,85964,6240,3,4,62,338,364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,ALL ABOUT EVE,1950,63463,8,61738,8280,15,15,42,253,276,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,CINDERELLA,1950,93141149,7,72280,4440,4,4,39,134,89,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,THE GREATEST SHOW ON EARTH,1952,36000000,7,7333,9120,4,4,9,78,94,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,SINGIN' IN THE RAIN,1952,1826108,8,108115,6180,4,7,61,333,441,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2369,HOUSE OF WAX,1953,23750000,7,9173,5280,0,0,15,78,108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,PETER PAN,1953,87404651,7,51944,4620,0,0,60,5,73,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,REAR WINDOW,1954,36764313,9,229323,6720,6,6,98,711,580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2121,A STAR IS BORN,1954,4335968,8,9081,9240,6,3,41,380,116,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
292,THE CAINE MUTINY,1954,21750000,8,17021,7440,2,3,41,37,142,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,DIAL M FOR MURDER,1954,12562,8,72579,6300,3,2,51,232,223,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2468,LADY AND THE TRAMP,1955,93602326,7,51515,4560,1,1,55,247,87,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,AROUND THE WORLD IN 80 DAYS,1956,42000000,7,13506,10500,8,5,29,37,95,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,THE TEN COMMANDMENTS,1956,65500000,8,37792,13200,5,7,48,281,207,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,GIANT,1956,177909,8,21880,12060,6,13,146,287,148,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,THE BRIDGE ON THE RIVER KWAI,1957,27200000,8,109972,9660,24,5,59,160,243,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,VERTIGO,1958,7311013,9,176267,7680,6,3,106,671,618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14,TOUCH OF EVIL,1958,2247465,8,55474,5700,3,1,28,211,245,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
528,SLEEPING BEAUTY,1959,51600000,7,64374,4500,1,3,47,1905,122,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BEN-HUR,1959,74000000,8,115402,12720,20,5,79,193,340,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PSYCHO,1960,32000000,9,296676,6540,6,5,156,2059,885,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2485,SWISS FAMILY ROBINSON,1960,40356000,7,7965,7560,0,0,21,52,47,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,SPARTACUS,1960,1830650,8,81588,11820,6,9,55,415,256,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,WEST SIDE STORY,1961,44064958,8,56385,9120,19,7,151,963,297,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,LAWRENCE OF ARABIA,1962,44824144,8,140727,12960,20,13,91,929,509,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,THE MANCHURIAN CANDIDATE,1962,2757256,8,55718,7560,6,4,39,214,282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2124,HOW THE WEST WAS WON,1962,76729,7,11705,9840,7,5,56,96,134,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2126,CLEOPATRA,1963,57777778,7,17110,11520,3,11,101,707,172,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,1964,9440272,9,263157,5700,13,4,56,432,782,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401,GOLDFINGER,1964,51081062,8,110130,6600,4,4,137,531,375,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,A SHOT IN THE DARK,1964,12368234,8,16452,6120,1,1,28,71,104,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
868,MARY POPPINS,1964,102272727,8,76881,8340,15,12,67,1684,223,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,MY FAIR LADY,1964,72000000,8,52814,10200,17,10,168,494,243,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,DOCTOR ZHIVAGO,1965,111721910,8,46656,11820,18,10,83,204,242,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
870,THE SOUND OF MUSIC,1965,158671368,8,110848,10440,12,12,90,1072,377,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,THUNDERBALL,1965,63595658,7,63573,7800,3,4,55,242,248,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,WHO'S AFRAID OF VIRGINIA WOOLF?,1966,28000000,8,41330,7860,20,18,72,10,213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,GUESS WHO'S COMING TO DINNER,1967,56666667,8,22611,6480,8,20,20,125,254,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,THE GRADUATE,1967,104945305,8,161502,6360,20,13,94,329,573,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
570,THE JUNGLE BOOK,1967,141843612,8,84514,4680,2,3,46,471,107,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,YOU ONLY LIVE TWICE,1967,43084787,7,57507,7020,1,1,51,259,247,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,FUNNY GIRL,1968,52223306,8,10322,9060,6,16,44,504,70,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,PLANET OF THE APES,1968,32589624,8,110247,6720,5,0,138,151,363,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2488,COOGAN'S BLUFF,1968,3110000,7,9357,5580,0,0,30,14,82,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,THE ODD COUPLE,1968,44527234,8,21149,6300,4,6,16,332,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
211,THE LION IN WINTER,1968,18177,8,19622,8040,14,16,58,218,158,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001: A SPACE ODYSSEY,1968,58588800,8,295641,9600,12,6,174,28,1568,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2487,HANG 'EM HIGH,1968,11000000,7,18902,6840,0,0,38,29,101,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
873,ON HER MAJESTY'S SECRET SERVICE,1969,22774493,7,44160,8520,0,2,44,200,422,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,THE WILD BUNCH,1969,638641,8,53674,8700,5,3,44,447,278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
314,MIDNIGHT COWBOY,1969,44785053,8,61871,6780,26,12,42,392,305,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BUTCH CASSIDY AND THE SUNDANCE KID,1969,102308889,8,111087,6600,18,12,51,508,281,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,PATTON,1970,61749765,8,63496,10320,18,7,63,106,224,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,LITTLE BIG MAN,1970,31559552,8,22508,8340,5,6,34,95,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
876,LOVE STORY,1970,106397186,7,19008,5940,12,13,24,723,145,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2492,BENEATH THE PLANET OF THE APES,1970,18999718,6,25027,5700,0,0,50,66,134,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2493,KELLY'S HEROES,1970,5200000,8,27962,8640,0,0,36,43,165,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2491,AIRPORT,1970,100489151,7,11002,8220,5,17,33,57,142,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
874,TWO MULES FOR SISTER SARA,1970,5050000,7,12868,6960,1,1,18,17,54,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
881,PLAY MISTY FOR ME,1971,10600000,7,15281,6120,0,0,23,73,132,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
882,VANISHING POINT,1971,12442673,7,18044,5940,0,0,13,108,152,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
878,DIAMONDS ARE FOREVER,1971,43819547,7,57495,7200,1,2,57,319,252,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,FIDDLER ON THE ROOF,1971,10404330,8,24615,10860,6,13,58,218,139,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,DIRTY HARRY,1971,35976000,8,94697,6120,1,1,114,524,269,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
690,THX 1138,1971,2437000,7,32396,5160,0,0,24,151,187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
845,ESCAPE FROM THE PLANET OF THE APES,1971,12348905,6,16213,5880,0,0,49,37,79,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
877,THE BEGUILED,1971,1100000,7,7504,6300,0,0,15,28,65,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
448,THE LAST PICTURE SHOW,1971,29133000,8,26091,7080,18,16,26,366,156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,THE FRENCH CONNECTION,1971,51700000,8,62603,6240,18,8,42,580,257,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
245,JOE KIDD,1972,6330000,6,9369,5280,0,0,13,10,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2494,CONQUEST OF THE PLANET OF THE APES,1972,9043472,6,18119,5280,0,0,41,114,86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,THE GODFATHER,1972,134966411,9,821410,10500,29,19,148,1307,1751,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,THE POSEIDON ADVENTURE,1972,84563118,7,27872,7020,4,13,32,231,231,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,THE EXORCIST,1973,232906145,8,229899,7320,13,14,106,1116,987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,AMARCORD,1973,125493,8,23480,7380,16,8,32,73,96,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,MAGNUM FORCE,1973,39768000,7,33900,7440,0,0,29,67,140,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
884,BATTLE FOR THE PLANET OF THE APES,1973,8844595,5,18017,5580,0,0,39,43,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
883,HIGH PLAINS DRIFTER,1973,15700000,8,26996,6300,0,0,26,103,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,THE STING,1973,156000000,8,127640,7740,10,6,67,275,224,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,PAPILLON,1973,53267000,8,67782,9060,2,1,30,40,148,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,AMERICAN GRAFFITI,1973,115000000,8,52962,6600,8,6,57,392,222,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,SERPICO,1973,29800000,8,57246,7800,6,7,9,214,153,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,LIVE AND LET DIE,1973,35377836,7,56889,7260,2,2,51,333,228,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,SLEEPER,1973,18344729,7,27703,5340,2,2,18,91,118,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2496,THE WAY WE WERE,1973,45000000,7,13349,7080,5,7,37,236,92,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2500,THE SUGARLAND EXPRESS,1974,7500000,7,8669,6600,1,2,5,95,46,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,YOUNG FRANKENSTEIN,1974,86273333,8,92629,6360,10,4,41,383,296,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,MURDER ON THE ORIENT EXPRESS,1974,27634716,7,28857,7680,8,16,22,176,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
885,BLAZING SADDLES,1974,119601481,8,74528,5580,2,2,41,516,338,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
886,THE CONVERSATION,1974,4420000,8,60195,6780,14,11,22,259,283,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
887,DEATH WISH,1974,22000000,7,20402,5580,1,1,10,544,178,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
888,THE MAN WITH THE GOLDEN GUN,1974,20972000,7,56499,7500,1,1,49,237,230,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,THE GODFATHER: PART II,1974,47542841,9,541351,12000,11,16,73,197,565,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CHINATOWN,1974,29200000,8,159935,7800,20,22,73,547,412,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2497,EARTHQUAKE,1974,79666653,6,8426,7380,2,7,22,49,147,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2501,THE TOWERING INFERNO,1974,116000000,7,25243,9900,9,13,66,176,187,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2499,THE LONGEST YARD,1974,43008075,7,11004,7260,2,3,39,10,64,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,THE GREAT GATSBY,1974,20563273,6,16399,8640,5,3,35,1407,125,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
889,THAT'S ENTERTAINMENT!,1974,26890200,8,3433,8100,2,0,13,0,44,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2503,ESCAPE TO WITCH MOUNTAIN,1975,20000000,6,5884,5820,0,0,11,52,54,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505,THE GREAT WALDO PEPPER,1975,20642922,7,3642,6420,0,0,37,8,24,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ONE FLEW OVER THE CUCKOO'S NEST,1975,108981275,9,492141,7980,30,12,59,397,675,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,THE EIGER SANCTION,1975,14200000,6,9861,7380,0,0,28,22,74,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
892,THE ROCKY HORROR PICTURE SHOW,1975,112892319,7,80386,6000,2,4,184,583,468,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2502,BUG,1975,3602023,5,1162,5940,1,1,5,6,38,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2507,NASHVILLE,1975,9984123,8,14261,9540,22,24,14,66,145,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,JAWS,1975,260000000,8,290528,7440,9,14,95,1497,880,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2506,LOVE AND DEATH,1975,20123742,8,21782,5100,1,1,25,99,101,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,DOG DAY AFTERNOON,1975,50000000,8,137696,7500,13,17,35,438,228,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504,FUNNY LADY,1975,39000000,6,2918,8160,0,6,32,61,31,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,THREE DAYS OF THE CONDOR,1975,27476252,8,27026,7020,5,3,16,219,138,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2508,TOMMY,1975,34251525,7,13072,6660,2,2,30,241,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
895,MARATHON MAN,1976,21709020,8,35767,7500,4,9,22,207,147,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
894,THE ENFORCER,1976,46236000,7,25165,5760,0,0,24,30,86,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2511,THE PINK PANTHER STRIKES AGAIN,1976,33833201,7,18413,6180,2,2,31,17,94,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,SILENT MOVIE,1976,36145695,7,10027,5220,1,1,17,204,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,A STAR IS BORN,1976,80000000,7,4197,8340,6,6,18,165,47,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
893,CARRIE,1976,33800000,7,96764,5880,4,4,54,14,453,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
896,THE OMEN,1976,60922980,8,61463,6660,2,8,47,175,282,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,TAXI DRIVER,1976,28262574,8,351181,6780,26,9,80,1830,768,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,ROCKY,1976,117235147,8,243942,7140,17,20,105,1161,479,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,NETWORK,1976,23689877,8,75434,7260,22,19,49,366,295,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,THE OUTLAW JOSEY WALES,1976,31800000,8,40072,8100,1,0,60,170,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2510,THE BAD NEWS BEARS,1976,32211330,7,13812,6120,1,0,19,109,83,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2509,ALL THE PRESIDENT'S MEN,1976,70600000,8,59136,8280,13,20,32,318,189,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
540,THE SHOOTIST,1976,8091910,8,14415,6000,1,3,26,51,138,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2518,MARCH OR DIE,1977,1000000,6,1942,6420,0,0,9,4,22,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,A BRIDGE TOO FAR,1977,50750000,7,32836,10500,4,4,61,40,191,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
898,BLACK SUNDAY,1977,15769322,7,4217,8580,0,0,9,21,64,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2522,SMOKEY AND THE BANDIT,1977,126737428,7,27285,5760,0,1,24,202,140,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2521,SLAP SHOT,1977,28000000,7,24636,7380,1,2,39,112,135,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2520,SATURDAY NIGHT FEVER,1977,94213184,7,43545,7080,7,8,72,484,195,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,ANNIE HALL,1977,38251425,8,138617,5580,26,7,41,37,408,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2519,JULIA,1977,20714400,7,5285,7020,21,21,35,7,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,CLOSE ENCOUNTERS OF THE THIRD KIND,1977,135189114,8,109524,8220,15,33,90,786,307,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
